[ 2025-11-06 11:49:36,651 ] 162 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-11-06 11:49:47,373 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-06 11:49:47,386 ] 107 dagshub - INFO - Accessing as shreenath6362
[ 2025-11-06 11:49:49,113 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/shreenath6362/network_security-MLOPs "HTTP/1.1 200 OK"
[ 2025-11-06 11:49:50,855 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-06 11:49:50,859 ] 107 dagshub - INFO - Initialized MLflow to track repo "shreenath6362/network_security-MLOPs"
[ 2025-11-06 11:49:50,861 ] 107 dagshub - INFO - Repository shreenath6362/network_security-MLOPs initialized!
[ 2025-11-06 11:50:04,374 ] 42 root - INFO - Start data Ingestion
[ 2025-11-06 11:50:07,816 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-06 11:50:07,816 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-06 11:50:07,819 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-06 11:50:08,007 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-06 11:50:08,008 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\11_06_2025_11_49_37\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\11_06_2025_11_49_37\\data_ingestion\\ingested\\test.csv')
[ 2025-11-06 11:50:08,026 ] 55 root - INFO - Initiate the data Validation
[ 2025-11-06 11:50:08,149 ] 32 root - INFO - Required number of columns:2
[ 2025-11-06 11:50:08,150 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-06 11:50:08,150 ] 32 root - INFO - Required number of columns:2
[ 2025-11-06 11:50:08,150 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-06 11:50:08,604 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-06 11:50:08,604 ] 65 root - INFO - Starting data transformation
[ 2025-11-06 11:50:08,649 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-06 11:50:08,650 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-06 11:50:08,691 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:50:08,697 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:50:08,697 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:50:08,703 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:53:36,345 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:53:36,346 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:53:36,346 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:53:36,386 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:53:36,386 ] 143 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_06_2025_11_49_37\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915778792491121, precision_score=0.9904723292114332, recall_score=0.9926859000406338), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.979476861167002, precision_score=0.9736, recall_score=0.9854251012145749))
