[ 2025-11-06 11:35:45,501 ] 162 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-11-06 11:35:56,688 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-06 11:35:56,701 ] 107 dagshub - INFO - Accessing as shreenath6362
[ 2025-11-06 11:35:58,428 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/shreenath6362/network_security-MLOPs "HTTP/1.1 200 OK"
[ 2025-11-06 11:36:00,068 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-11-06 11:36:00,072 ] 107 dagshub - INFO - Initialized MLflow to track repo "shreenath6362/network_security-MLOPs"
[ 2025-11-06 11:36:00,073 ] 107 dagshub - INFO - Repository shreenath6362/network_security-MLOPs initialized!
[ 2025-11-06 11:36:40,291 ] 42 root - INFO - Start data Ingestion
[ 2025-11-06 11:36:43,764 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-06 11:36:43,765 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-06 11:36:43,766 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-06 11:36:43,948 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-06 11:36:43,949 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\11_06_2025_11_35_46\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\11_06_2025_11_35_46\\data_ingestion\\ingested\\test.csv')
[ 2025-11-06 11:36:43,968 ] 55 root - INFO - Initiate the data Validation
[ 2025-11-06 11:36:44,089 ] 32 root - INFO - Required number of columns:2
[ 2025-11-06 11:36:44,090 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-06 11:36:44,090 ] 32 root - INFO - Required number of columns:2
[ 2025-11-06 11:36:44,090 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-06 11:36:44,441 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-06 11:36:44,441 ] 65 root - INFO - Starting data transformation
[ 2025-11-06 11:36:44,486 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-06 11:36:44,487 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-06 11:36:44,523 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:36:44,531 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:36:44,531 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:36:44,536 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:44:33,826 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:44:33,830 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:44:33,830 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-06 11:44:33,896 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-06 11:44:33,897 ] 143 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_06_2025_11_35_46\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910931174089069, precision_score=0.9886914378029079, recall_score=0.9935064935064936), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9733656174334141, precision_score=0.9655724579663731, recall_score=0.9812855980471928))
